Study Area,ID,Distinctiveness,Sex,P1S1,P1S2,P1S3,NeuterP1,P2S1,P2S2,P2S3,NeuterP2,P3S1,P3S2,P3S3,NeuterP3,P4S1,P4S2,P4S3,NeuterP4,P5S1,P5S2,P5S3,NeuterP5
ITSA4,IT037,2,Unknown,0,0,0,NA,0,1,0,NA,0,1,0,NA,0,0,0,NA,0,0,0,NA
ITSA4,IT048,2,Male,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NA,0,0,0,NA
ITSA4,IT053,2,Male,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,1,1,NA
UASA1,UA001,1,Female,1,1,0,Yes,0,0,0,,1,NA,1,Yes,0,1,0,Yes,1,0,0,Yes
UASA1,UA002,2,Male,1,0,0,No,1,1,0,No,0,NA,1,No,0,0,1,,0,0,0,
UASA1,UA003,1,Male,1,0,0,No,0,0,0,,0,NA,0,,0,0,0,,0,0,0,
UASA1,UA004,2,Male,1,1,0,Yes,1,1,1,Yes,0,NA,0,,0,1,0,,1,1,0,Yes
UASA1,UA005,1,Female,1,0,0,Yes,0,0,0,,0,NA,0,,0,0,0,,0,0,0,
UASA1,UA006,1,Unknown,0,1,0,Yes,0,0,0,,0,NA,0,,0,0,0,,0,0,0,
UASA1,UA007,2,Male,0,1,0,No,0,1,0,Yes,0,NA,1,Yes,0,0,0,,0,0,1,
UASA1,UA060,2,Male,0,0,0,,0,1,0,Yes,1,NA,0,Yes,1,0,0,Yes,0,0,1,Yes
UASA1,UA061,1,Female,0,0,0,,0,1,0,Yes,0,NA,0,,1,1,0,Yes,0,1,1,Yes
UASA1,UA062,2,Female,0,0,0,,0,1,0,No,0,NA,0,,0,0,0,,0,0,0,
UASA1,UA063,No photo,Unknown,0,0,0,,0,1,0,No,0,NA,0,,0,0,0,,0,0,0,
UASA1,UA064,2,Male,0,0,0,,0,1,0,No,0,NA,0,,0,0,0,,0,0,0,
UASA1,UA065,2,Male,0,0,0,,0,0,1,No,0,NA,0,,0,0,0,,0,0,0,
UASA1,UA066,2,Unknown,0,0,0,,0,0,1,No,0,NA,0,,0,0,0,,0,0,0,
UASA1,UA102,2,Female,0,0,0,,0,0,0,,1,NA,0,Yes,1,0,1,Yes,0,0,0,
UASA1,UA103,2,Male,0,0,0,,0,0,0,,1,NA,0,Yes,0,0,0,,0,1,0,Yes
UASA1,UA104,2,Female,0,0,0,,0,0,0,,1,NA,0,No,0,0,0,Yes,0,0,0,
UASA1,UA105,2,Female,0,0,0,,0,0,0,,0,NA,1,Yes,0,0,0,,0,0,0,
UASA1,UA106,2,Female,0,0,0,,0,0,0,,0,NA,1,Yes,0,0,0,,0,0,0,
UASA1,UA132,3,Unknown,0,0,0,,0,0,0,,0,NA,0,,1,0,0,,0,0,0,
UASA1,UA133,2,Male,0,0,0,,0,0,0,,0,NA,0,,1,0,0,,0,0,0,
UASA1,UA134,2,Unknown,0,0,0,,0,0,0,,0,NA,0,,1,0,0,,0,0,0,
UASA1,UA135,1,Male,0,0,0,,0,0,0,,0,NA,0,,0,1,0,Yes,0,0,0,
UASA1,UA136,1,Male,0,0,0,,0,0,0,,0,NA,0,,0,0,1,,0,0,0,
UASA1,UA167,3,Male,0,0,0,,0,0,0,,0,NA,0,,0,0,0,,0,1,0,
UASA1,UA168,1,Male,0,0,0,,0,0,0,,0,NA,0,,0,0,0,,0,0,1,
UASA1,UA169,1,Unknown,0,0,0,,0,0,0,,0,NA,0,,0,0,0,,0,0,1,
UASA2,UA009,2,Male,1,0,0,No,0,0,0,,0,0,0,,1,0,0,,0,0,0,
UASA2,UA010,1,Male,1,1,1,Yes,1,1,1,Yes,0,0,0,,0,0,0,,1,1,1,Yes
UASA2,UA011,2,Female,1,0,0,Yes,0,0,0,,0,0,0,,0,1,0,Yes,0,1,0,Yes
UASA2,UA012,2,Male,1,0,0,Yes,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA2,UA013,2,Male,1,0,0,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA2,UA014,2,Male,1,0,0,No,0,0,1,No,0,0,0,,0,0,0,,0,0,0,
UASA2,UA015,2,Unknown,0,1,1,No,0,1,0,No,0,0,0,,0,0,0,,0,0,0,
UASA2,UA067,2,Male,0,0,0,,1,0,0,No,0,0,0,,0,0,0,,0,0,0,
UASA2,UA068,1,Unknown,0,0,0,,0,1,1,No,0,0,0,,0,0,0,,0,0,0,
UASA2,UA069,2,Female,0,0,0,,0,1,1,Yes,1,1,0,Yes,0,0,0,,0,0,1,Yes
UASA2,UA070,2,Unknown,0,0,0,,0,1,0,Yes,0,0,0,,0,0,0,,0,0,0,
UASA2,UA071,2,Male,0,0,0,,0,0,1,No,0,0,0,,1,0,0,Yes,0,0,0,
UASA2,UA107,2,Female,0,0,0,,0,0,0,,1,1,0,No,1,0,0,,1,0,1,
UASA2,UA108,1,Female,0,0,0,,0,0,0,,1,0,0,No,0,0,0,,0,0,0,
UASA2,UA109,2,Female,0,0,0,,0,0,0,,1,0,1,No,0,0,0,,0,0,0,
UASA2,UA110,2,Male,0,0,0,,0,0,0,,0,1,0,No,0,0,0,,0,0,0,
UASA2,UA111,3,Male,0,0,0,,0,0,0,,0,1,0,No,0,0,0,,0,0,0,
UASA2,UA112,2,Unknown,0,0,0,,0,0,0,,0,1,0,No,0,0,0,,0,0,0,
UASA2,UA113,2,Unknown,0,0,0,,0,0,0,,0,1,0,No,0,0,0,,0,0,1,
UASA2,UA114,2,Male,0,0,0,,0,0,0,,0,0,1,Yes,0,0,0,,0,0,0,
UASA2,UA115,3,Female,0,0,0,,0,0,0,,0,0,1,No,0,0,0,,0,0,1,Yes
UASA2,UA116,3,Male,0,0,0,,0,0,0,,0,0,1,No,0,0,0,,0,0,1,Yes
UASA2,UA117,3,Unknown,0,0,0,,0,0,0,,0,0,1,No,0,0,0,,0,0,0,
UASA2,UA118,3,Female,0,0,0,,0,0,0,,0,0,1,No,0,1,0,,1,1,1,
UASA2,UA119,3,Female,0,0,0,,0,0,0,,0,0,1,No,0,1,0,,0,0,0,
UASA2,UA137,2,Male,0,0,0,,0,0,0,,0,0,0,,1,0,1,,1,1,1,
UASA2,UA138,2,Unknown,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,
UASA2,UA139,3,Male,0,0,0,,0,0,0,,0,0,0,,0,1,0,,0,0,0,
UASA2,UA140,2,Unknown,0,0,0,,0,0,0,,0,0,0,,0,1,0,,0,0,0,
UASA2,UA141,2,Male,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,
UASA2,UA142,2,Unknown,0,0,0,,0,0,0,,0,0,0,,0,0,1,,0,0,0,
UASA2,UA143,3,Unknown,0,0,0,,0,0,0,,0,0,0,,0,0,1,,0,0,0,
UASA2,UA170,1,Male,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,
UASA2,UA171,2,Female,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,0,Yes
UASA2,UA172,2,Unknown,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,
UASA3,UA016,2,Unknown,1,0,0,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA3,UA017,2,Unknown,1,0,0,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA3,UA018,2,Male,1,0,0,No,1,0,1,No,0,1,0,No,1,0,1,,0,0,0,
UASA3,UA019,2,Male,1,1,0,No,1,0,0,No,0,0,0,,1,0,0,,0,0,1,
UASA3,UA020,2,Unknown,1,0,0,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA3,UA021,2,Male,1,0,0,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA3,UA022,2,Unknown,1,0,0,Yes,0,1,1,No,1,1,1,No,1,0,0,Yes,0,0,1,Yes
UASA3,UA023,2,Unknown,1,0,0,No,1,1,0,No,1,1,1,No,1,0,0,,0,0,1,
UASA3,UA024,1,Male,1,1,1,Yes,1,1,1,Yes,1,1,1,Yes,1,1,0,Yes,1,0,1,Yes
UASA3,UA025,1,Male,1,0,0,No,0,0,0,,0,0,0,,0,0,0,,0,0,1,
UASA3,UA026,2,Male,0,1,0,Yes,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA3,UA027,2,Male,0,1,0,Yes,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA3,UA028,2,Male,0,1,0,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA3,UA029,2,Male,0,1,0,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA3,UA030,1,Male,0,1,1,No,1,0,0,No,0,0,0,,0,0,0,,0,0,0,
UASA3,UA031,2,Female,0,0,1,Yes,1,0,1,Yes,0,1,0,Yes,1,0,1,Yes,0,0,1,Yes
UASA3,UA032,1,Female,0,0,1,Yes,1,0,1,Yes,0,1,0,Yes,1,0,1,Yes,1,0,0,Yes
UASA3,UA033,2,Unknown,0,0,1,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA3,UA034,1,Male,0,0,1,No,0,0,0,,0,0,0,,0,0,0,,0,0,0,
UASA3,UA035,2,Male,0,0,1,No,0,0,0,,0,0,0,,0,0,0,,0,1,0,
UASA3,UA084,2,Female,0,0,0,,1,0,1,No,0,0,0,,0,0,0,,0,0,0,
UASA3,UA085,2,Female,0,0,0,,1,0,1,No,0,1,0,No,1,0,1,,0,0,1,
